R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 4.297445E+00	 2.473048E-01	 4.229956E+00	 4.273457E-01	 4.177110E+00	 5.492127E-01	 4.109547E+00	 6.897164E-01	 4.032865E+00	 8.373376E-01	 3.951257E+00	 9.877768E-01	 3.867443E+00	 1.139934E+00	 3.794288E+00	 1.272975E+00	 3.718501E+00	 1.412227E+00	 3.641168E+00	 1.556966E+00	 3.562093E+00	 1.708650E+00	 3.478145E+00	 1.874052E+00	 3.391486E+00	 2.049522E+00	 3.285638E+00	 2.260725E+00	 3.154532E+00	 2.561447E+00
 4.289334E+00	 2.409359E-01	 4.216017E+00	 4.166418E-01	 4.159110E+00	 5.356275E-01	 4.086848E+00	 6.727627E-01	 4.005216E+00	 8.168305E-01	 3.918588E+00	 9.636687E-01	 3.829808E+00	 1.112197E+00	 3.752467E+00	 1.242053E+00	 3.672503E+00	 1.377942E+00	 3.591105E+00	 1.519135E+00	 3.508332E+00	 1.666977E+00	 3.421857E+00	 1.827807E+00	 3.335718E+00	 1.997446E+00	 3.234885E+00	 2.200690E+00	 3.120617E+00	 2.487875E+00
 4.281472E+00	 2.336380E-01	 4.202693E+00	 4.039173E-01	 4.141879E+00	 5.193784E-01	 4.065020E+00	 6.524616E-01	 3.978504E+00	 7.922511E-01	 3.886933E+00	 9.346795E-01	 3.793271E+00	 1.078683E+00	 3.711819E+00	 1.204512E+00	 3.627750E+00	 1.336098E+00	 3.542357E+00	 1.472694E+00	 3.455990E+00	 1.615469E+00	 3.367235E+00	 1.770111E+00	 3.282128E+00	 1.931810E+00	 3.187527E+00	 2.124120E+00	 3.090847E+00	 2.394903E+00
 4.273898E+00	 2.254183E-01	 4.190039E+00	 3.892837E-01	 4.125541E+00	 5.005913E-01	 4.044285E+00	 6.289458E-01	 3.953058E+00	 7.637374E-01	 3.856727E+00	 9.009677E-01	 3.758388E+00	 1.039587E+00	 3.673010E+00	 1.160591E+00	 3.585031E+00	 1.286999E+00	 3.495845E+00	 1.418045E+00	 3.406085E+00	 1.554699E+00	 3.315220E+00	 1.701956E+00	 3.231139E+00	 1.854544E+00	 3.142738E+00	 2.034519E+00	 3.062059E+00	 2.288775E+00
 4.266664E+00	 2.162667E-01	 4.178075E+00	 3.729200E-01	 4.110176E+00	 4.795078E-01	 4.024822E+00	 6.025015E-01	 3.929177E+00	 7.316235E-01	 3.828389E+00	 8.629495E-01	 3.725697E+00	 9.954429E-01	 3.636686E+00	 1.110962E+00	 3.545109E+00	 1.231490E+00	 3.452456E+00	 1.356260E+00	 3.359600E+00	 1.486071E+00	 3.266762E+00	 1.625325E+00	 3.183307E+00	 1.768581E+00	 3.099901E+00	 1.936348E+00	 3.031653E+00	 2.174777E+00
 4.259816E+00	 2.061799E-01	 4.166802E+00	 3.550058E-01	 4.095812E+00	 4.563943E-01	 4.006725E+00	 5.734620E-01	 3.907043E+00	 6.963176E-01	 3.802184E+00	 8.211416E-01	 3.695535E+00	 9.469184E-01	 3.603241E+00	 1.056451E+00	 3.508435E+00	 1.170600E+00	 3.412689E+00	 1.288610E+00	 3.317079E+00	 1.411169E+00	 3.222416E+00	 1.542248E+00	 3.139068E+00	 1.676513E+00	 3.058829E+00	 1.833052E+00	 2.998316E+00	 2.056174E+00
 4.253383E+00	 1.951817E-01	 4.156226E+00	 3.356795E-01	 4.082445E+00	 4.314681E-01	 3.990010E+00	 5.421113E-01	 3.886712E+00	 6.581798E-01	 3.778196E+00	 7.760007E-01	 3.667997E+00	 8.945908E-01	 3.572768E+00	 9.977585E-01	 3.475087E+00	 1.105170E+00	 3.376599E+00	 1.216098E+00	 3.278550E+00	 1.331162E+00	 3.182207E+00	 1.454026E+00	 3.098536E+00	 1.579648E+00	 3.019697E+00	 1.725883E+00	 2.962253E+00	 1.934126E+00
 4.247377E+00	 1.833290E-01	 4.146368E+00	 3.150390E-01	 4.070068E+00	 4.048782E-01	 3.974655E+00	 5.086517E-01	 3.868150E+00	 6.174727E-01	 3.756381E+00	 7.278541E-01	 3.643014E+00	 8.388563E-01	 3.545163E+00	 9.353415E-01	 3.444911E+00	 1.035716E+00	 3.343966E+00	 1.139293E+00	 3.243710E+00	 1.246635E+00	 3.145772E+00	 1.361139E+00	 3.061466E+00	 1.478140E+00	 2.982767E+00	 1.614367E+00	 2.924817E+00	 1.808350E+00
 4.241790E+00	 1.707012E-01	 4.137258E+00	 2.931681E-01	 4.058683E+00	 3.767323E-01	 3.960632E+00	 4.732313E-01	 3.851300E+00	 5.743884E-01	 3.736650E+00	 6.769323E-01	 3.620459E+00	 7.799759E-01	 3.520260E+00	 8.694800E-01	 3.417693E+00	 9.625299E-01	 3.314512E+00	 1.058482E+00	 3.212202E+00	 1.157841E+00	 3.112659E+00	 1.263721E+00	 3.027449E+00	 1.371847E+00	 2.948191E+00	 1.497805E+00	 2.887788E+00	 1.678069E+00
 4.236615E+00	 1.573831E-01	 4.128915E+00	 2.701592E-01	 4.048298E+00	 3.471346E-01	 3.947923E+00	 4.359907E-01	 3.836109E+00	 5.291037E-01	 3.718918E+00	 6.234418E-01	 3.600218E+00	 7.181781E-01	 3.497919E+00	 8.004157E-01	 3.393265E+00	 8.858614E-01	 3.288040E+00	 9.739179E-01	 3.183790E+00	 1.065033E+00	 3.082583E+00	 1.162029E+00	 2.996213E+00	 1.261012E+00	 2.916039E+00	 1.376334E+00	 2.852640E+00	 1.542756E+00
 4.231852E+00	 1.434501E-01	 4.121345E+00	 2.461166E-01	 4.038917E+00	 3.162061E-01	 3.936512E+00	 3.970874E-01	 3.822536E+00	 4.818136E-01	 3.703117E+00	 5.676118E-01	 3.582202E+00	 6.537232E-01	 3.478036E+00	 7.284338E-01	 3.371511E+00	 8.060206E-01	 3.264433E+00	 8.859389E-01	 3.158375E+00	 9.685914E-01	 3.055496E+00	 1.056530E+00	 2.967776E+00	 1.146243E+00	 2.886444E+00	 1.250765E+00	 2.820165E+00	 1.402441E+00
 4.227513E+00	 1.289643E-01	 4.114539E+00	 2.211472E-01	 4.030534E+00	 2.840811E-01	 3.926378E+00	 3.566934E-01	 3.810539E+00	 4.327306E-01	 3.689188E+00	 5.096955E-01	 3.566336E+00	 5.869037E-01	 3.460525E+00	 6.538603E-01	 3.352342E+00	 7.233674E-01	 3.243609E+00	 7.949386E-01	 3.135915E+00	 8.689442E-01	 3.031460E+00	 9.476965E-01	 2.942330E+00	 1.028073E+00	 2.859608E+00	 1.121753E+00	 2.790529E+00	 1.257608E+00
 4.223622E+00	 1.139789E-01	 4.108489E+00	 1.953516E-01	 4.023138E+00	 2.508965E-01	 3.917494E+00	 3.149817E-01	 3.800074E+00	 3.820688E-01	 3.677070E+00	 4.499480E-01	 3.552546E+00	 5.180144E-01	 3.445304E+00	 5.770215E-01	 3.335669E+00	 6.382571E-01	 3.225478E+00	 7.012948E-01	 3.116337E+00	 7.664723E-01	 3.010469E+00	 8.358605E-01	 2.919984E+00	 9.067358E-01	 2.835691E+00	 9.894074E-01	 2.763640E+00	 1.108913E+00
 4.220204E+00	 9.854679E-02	 4.103198E+00	 1.688258E-01	 4.016718E+00	 2.167861E-01	 3.909834E+00	 2.721210E-01	 3.791097E+00	 3.300348E-01	 3.666704E+00	 3.886137E-01	 3.540761E+00	 4.473339E-01	 3.432295E+00	 4.982228E-01	 3.321407E+00	 5.510186E-01	 3.209948E+00	 6.053530E-01	 3.099537E+00	 6.615190E-01	 2.992409E+00	 7.213111E-01	 2.900659E+00	 7.824082E-01	 2.814739E+00	 8.537232E-01	 2.739538E+00	 9.569422E-01
 4.217281E+00	 8.272502E-02	 4.098679E+00	 1.416677E-01	 4.011269E+00	 1.818814E-01	 3.903376E+00	 2.282773E-01	 3.783567E+00	 2.768291E-01	 3.658034E+00	 3.259262E-01	 3.530915E+00	 3.751274E-01	 3.421426E+00	 4.177549E-01	 3.309482E+00	 4.619677E-01	 3.196939E+00	 5.074548E-01	 3.085420E+00	 5.544540E-01	 2.977151E+00	 6.044525E-01	 2.884227E+00	 6.555264E-01	 2.796784E+00	 7.151541E-01	 2.718558E+00	 8.021401E-01
