theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 259.20	  89.99887	  89.98010	  89.94882	  89.89108	  89.81233	  89.72425	  89.63289	  89.55779	  89.48580	  89.42244	  89.36541	  89.32301	  89.30942	  89.30363	  89.63892
 262.80	  89.99854	  89.97815	  89.94492	  89.88394	  89.80067	  89.70685	  89.60849	  89.52636	  89.44610	  89.37317	  89.30439	  89.24741	  89.21868	  89.19563	  89.17186
 266.40	  89.99821	  89.97619	  89.94101	  89.87677	  89.78896	  89.68933	  89.58386	  89.49455	  89.40578	  89.32296	  89.24194	  89.16978	  89.12558	  89.08553	  88.98341
 270.00	  89.99787	  89.97425	  89.93712	  89.86964	  89.77727	  89.67185	  89.55922	  89.46264	  89.36523	  89.27230	  89.17867	  89.09076	  89.03072	  88.97384	  89.11600
 273.60	  89.99754	  89.97234	  89.93331	  89.86261	  89.76574	  89.65459	  89.53485	  89.43100	  89.32490	  89.22177	  89.11526	  89.01106	  88.93474	  88.86102	  89.03600
 277.20	  89.99722	  89.97049	  89.92962	  89.85579	  89.75451	  89.63775	  89.51103	  89.40002	  89.28531	  89.17202	  89.05248	  88.93148	  88.83833	  88.74758	  88.14005
 280.80	  89.99692	  89.96873	  89.92611	  89.84927	  89.74375	  89.62159	  89.48813	  89.37017	  89.24706	  89.12380	  88.99119	  88.85287	  88.74225	  88.63403	  86.55998
 284.40	  89.99663	  89.96709	  89.92285	  89.84317	  89.73364	  89.60639	  89.46654	  89.34196	  89.21081	  89.07794	  88.93235	  88.77617	  88.64729	  88.52096	  85.31635
 288.00	  89.99637	  89.96561	  89.91990	  89.83762	  89.72440	  89.59245	  89.44669	  89.31596	  89.17730	  89.03537	  88.87705	  88.70244	  88.55433	  88.40901	  85.46016
 291.60	  89.99614	  89.96433	  89.91734	  89.83276	  89.71625	  89.58011	  89.42905	  89.29278	  89.14731	  88.99707	  88.82650	  88.63289	  88.46433	  88.29888	  86.98830
 295.20	  89.99594	  89.96328	  89.91525	  89.82874	  89.70944	  89.56974	  89.41412	  89.27308	  89.12169	  88.96412	  88.78202	  88.56892	  88.37836	  88.19138	  88.70729
 298.80	  89.99578	  89.96249	  89.91369	  89.82571	  89.70421	  89.56169	  89.40244	  89.25755	  89.10130	  88.93764	  88.74505	  88.51222	  88.29773	  88.08734	  89.29374
 302.40	  89.99566	  89.96199	  89.91273	  89.82379	  89.70083	  89.55636	  89.39453	  89.24687	  89.08705	  88.91875	  88.71710	  88.46471	  88.22412	  87.98775	  88.50809
 306.00	  89.99559	  89.96180	  89.91243	  89.82314	  89.69954	  89.55414	  89.39096	  89.24175	  89.07981	  88.90855	  88.69968	  88.42859	  88.15972	  87.89384	  87.31422
 309.60	  89.99557	  89.96195	  89.91284	  89.82387	  89.70058	  89.55542	  89.39225	  89.24286	  89.08040	  88.90808	  88.69423	  88.40616	  88.10740	  87.80729	  86.81763
 313.20	  89.99559	  89.96246	  89.91403	  89.82613	  89.70420	  89.56054	  89.39890	  89.25081	  89.08959	  88.91824	  88.70208	  88.39976	  88.07068	  87.73054	  87.18605
 316.80	  89.99567	  89.96334	  89.91605	  89.83003	  89.71059	  89.56985	  89.41137	  89.26617	  89.10802	  88.93977	  88.72428	  88.41164	  88.05347	  87.66728	  87.66662
