R(  2)	Z(  2)	R(  4)	Z(  4)	R(  6)	Z(  6)	R(  9)	Z(  9)	R( 13)	Z( 13)	R( 18)	Z( 18)	R( 24)	Z( 24)	R( 30)	Z( 30)	R( 37)	Z( 37)	R( 45)	Z( 45)	R( 54)	Z( 54)	R( 64)	Z( 64)	R( 74)	Z( 74)	R( 85)	Z( 85)	R( 97)	Z( 97)
 1.846130E+00	 4.511565E-02	 1.809326E+00	 9.486229E-02	 1.781264E+00	 1.218484E-01	 1.746284E+00	 1.503880E-01	 1.708376E+00	 1.803630E-01	 1.670133E+00	 2.125340E-01	 1.632289E+00	 2.463442E-01	 1.600193E+00	 2.767740E-01	 1.567478E+00	 3.088790E-01	 1.534500E+00	 3.422822E-01	 1.500952E+00	 3.763307E-01	 1.467427E+00	 4.137663E-01	 1.439141E+00	 4.580634E-01	 1.415172E+00	 5.236074E-01	-8.494777E-01	-4.667674E-01
 1.844334E+00	 4.350687E-02	 1.806000E+00	 9.100299E-02	 1.777318E+00	 1.165463E-01	 1.741754E+00	 1.435389E-01	 1.703210E+00	 1.719586E-01	 1.664238E+00	 2.025624E-01	 1.625634E+00	 2.347908E-01	 1.592867E+00	 2.638404E-01	 1.559484E+00	 2.945151E-01	 1.525863E+00	 3.264634E-01	 1.491872E+00	 3.592229E-01	 1.458278E+00	 3.958221E-01	 1.430271E+00	 4.398869E-01	 1.407258E+00	 5.059810E-01	 2.064930E-01	-2.221360E-04
 1.842620E+00	 4.175003E-02	 1.802879E+00	 8.687426E-02	 1.773640E+00	 1.109608E-01	 1.737551E+00	 1.364000E-01	 1.698434E+00	 1.632381E-01	 1.658798E+00	 1.922261E-01	 1.619501E+00	 2.228125E-01	 1.586122E+00	 2.504213E-01	 1.552132E+00	 2.795990E-01	 1.517929E+00	 3.100207E-01	 1.483521E+00	 3.414044E-01	 1.449796E+00	 3.770294E-01	 1.421898E+00	 4.206556E-01	 1.399509E+00	 4.869414E-01	 1.389595E+00	 6.531208E-01
 1.840992E+00	 3.985193E-02	 1.799958E+00	 8.250191E-02	 1.770217E+00	 1.051250E-01	 1.733659E+00	 1.290023E-01	 1.694030E+00	 1.542338E-01	 1.653795E+00	 1.815618E-01	 1.613868E+00	 2.104510E-01	 1.579932E+00	 2.365637E-01	 1.545392E+00	 2.641827E-01	 1.510665E+00	 2.930099E-01	 1.475869E+00	 3.229297E-01	 1.441970E+00	 3.574293E-01	 1.414042E+00	 4.003912E-01	 1.391932E+00	 4.664742E-01	 2.051709E+00	 1.079325E+00
 1.839455E+00	 3.781880E-02	 1.797232E+00	 7.791030E-02	 1.767037E+00	 9.906605E-02	 1.730064E+00	 1.213716E-01	 1.689981E+00	 1.449736E-01	 1.649209E+00	 1.706027E-01	 1.608711E+00	 1.977457E-01	 1.574272E+00	 2.223117E-01	 1.539236E+00	 2.483151E-01	 1.504040E+00	 2.754842E-01	 1.468886E+00	 3.038507E-01	 1.434788E+00	 3.370608E-01	 1.406729E+00	 3.791131E-01	 1.384570E+00	 4.445888E-01	 1.988649E+00	 1.040452E+00
 1.838014E+00	 3.565707E-02	 1.794699E+00	 7.312127E-02	 1.764094E+00	 9.280498E-02	 1.726756E+00	 1.135292E-01	 1.686274E+00	 1.354827E-01	 1.645022E+00	 1.593796E-01	 1.604010E+00	 1.847327E-01	 1.569116E+00	 2.077065E-01	 1.533635E+00	 2.320420E-01	 1.498020E+00	 2.574931E-01	 1.462541E+00	 2.842166E-01	 1.428232E+00	 3.159612E-01	 1.399981E+00	 3.568329E-01	 1.377506E+00	 4.213007E-01	 1.515917E+00	 6.916591E-01
 1.836672E+00	 3.337412E-02	 1.792360E+00	 6.815408E-02	 1.761383E+00	 8.635877E-02	 1.723727E+00	 1.054936E-01	 1.682896E+00	 1.257838E-01	 1.641217E+00	 1.479208E-01	 1.599744E+00	 1.714456E-01	 1.564442E+00	 1.927863E-01	 1.528562E+00	 2.154064E-01	 1.492574E+00	 2.390838E-01	 1.456801E+00	 2.640754E-01	 1.422282E+00	 2.941683E-01	 1.393812E+00	 3.335563E-01	 1.370852E+00	 3.966038E-01	 1.136088E+00	 4.207687E-01
 1.835431E+00	 3.097868E-02	 1.790215E+00	 6.302601E-02	 1.758905E+00	 7.974237E-02	 1.720972E+00	 9.728219E-02	 1.679835E+00	 1.158983E-01	 1.637777E+00	 1.362525E-01	 1.595893E+00	 1.579157E-01	 1.560227E+00	 1.775868E-01	 1.523991E+00	 1.984488E-01	 1.487673E+00	 2.203013E-01	 1.451634E+00	 2.434751E-01	 1.416909E+00	 2.717251E-01	 1.388216E+00	 3.092914E-01	 1.364718E+00	 3.704508E-01	 1.120278E+00	 4.601651E-01
 1.834293E+00	 2.848075E-02	 1.788263E+00	 5.775291E-02	 1.756660E+00	 7.297050E-02	 1.718486E+00	 8.891198E-02	 1.677080E+00	 1.058464E-01	 1.634688E+00	 1.243990E-01	 1.592439E+00	 1.441717E-01	 1.556450E+00	 1.621413E-01	 1.519898E+00	 1.812071E-01	 1.483287E+00	 2.011890E-01	 1.447008E+00	 2.224646E-01	 1.412080E+00	 2.486826E-01	 1.383167E+00	 2.840619E-01	 1.359170E+00	 3.427614E-01	 1.358834E+00	 6.805660E-01
 1.833256E+00	 2.589092E-02	 1.786504E+00	 5.234940E-02	 1.754644E+00	 6.605838E-02	 1.716262E+00	 8.040011E-02	 1.674623E+00	 9.564785E-02	 1.631936E+00	 1.123832E-01	 1.589366E+00	 1.302405E-01	 1.553092E+00	 1.464809E-01	 1.516260E+00	 1.637176E-01	 1.479389E+00	 1.817886E-01	 1.442891E+00	 2.010937E-01	 1.407762E+00	 2.251012E-01	 1.378629E+00	 2.579182E-01	 1.354217E+00	 3.134570E-01	 1.555225E+00	 7.792013E-01
 1.832322E+00	 2.321961E-02	 1.784933E+00	 4.682910E-02	 1.752855E+00	 5.902165E-02	 1.714295E+00	 7.176366E-02	 1.672453E+00	 8.532136E-02	 1.629509E+00	 1.002262E-01	 1.586658E+00	 1.161469E-01	 1.550133E+00	 1.306344E-01	 1.513056E+00	 1.460138E-01	 1.475955E+00	 1.621402E-01	 1.439255E+00	 1.794125E-01	 1.403924E+00	 2.010496E-01	 1.374557E+00	 2.309423E-01	 1.349804E+00	 2.825065E-01	 1.530485E+00	 6.322647E-01
 1.831491E+00	 2.047654E-02	 1.783548E+00	 4.120482E-02	 1.751288E+00	 5.187592E-02	 1.712577E+00	 6.301926E-02	 1.670561E+00	 7.488463E-02	 1.627395E+00	 8.794783E-02	 1.584300E+00	 1.019138E-01	 1.547559E+00	 1.146285E-01	 1.510268E+00	 1.281275E-01	 1.472964E+00	 1.422815E-01	 1.436078E+00	 1.574700E-01	 1.400539E+00	 1.766017E-01	 1.370913E+00	 2.032458E-01	 1.345839E+00	 2.499707E-01	 1.353146E+00	 4.088929E-01
 1.830765E+00	 1.767064E-02	 1.782348E+00	 3.548901E-02	 1.749937E+00	 4.463630E-02	 1.711101E+00	 5.418267E-02	 1.668937E+00	 6.435416E-02	 1.625583E+00	 7.556639E-02	 1.582281E+00	 8.756265E-02	 1.545355E+00	 9.848809E-02	 1.507880E+00	 1.100876E-01	 1.470398E+00	 1.222479E-01	 1.433340E+00	 1.353129E-01	 1.397591E+00	 1.518329E-01	 1.367673E+00	 1.749629E-01	 1.342221E+00	 2.160305E-01	 1.220157E+00	 3.422919E-01
 1.830147E+00	 1.481036E-02	 1.781331E+00	 2.969425E-02	 1.748798E+00	 3.731717E-02	 1.709860E+00	 4.526861E-02	 1.667576E+00	 5.374524E-02	 1.624065E+00	 6.309889E-02	 1.580591E+00	 7.311305E-02	 1.543509E+00	 8.223594E-02	 1.505879E+00	 9.192128E-02	 1.468245E+00	 1.020717E-01	 1.431031E+00	 1.129850E-01	 1.395072E+00	 1.268162E-01	 1.364832E+00	 1.462371E-01	 1.338889E+00	 1.809818E-01	 1.245899E+00	 4.413848E-01
 1.829639E+00	 1.190417E-02	 1.780499E+00	 2.383354E-02	 1.747868E+00	 2.993230E-02	 1.708850E+00	 3.629084E-02	 1.666470E+00	 4.307210E-02	 1.622833E+00	 5.056122E-02	 1.579220E+00	 5.858347E-02	 1.542013E+00	 6.589332E-02	 1.504256E+00	 7.365322E-02	 1.466494E+00	 8.178285E-02	 1.429142E+00	 9.052564E-02	 1.392984E+00	 1.016185E-01	 1.362411E+00	 1.172073E-01	 1.335859E+00	 1.451847E-01	 1.368820E+00	 4.936898E-01
 1.829244E+00	 8.960832E-03	 1.779852E+00	 1.792031E-02	 1.747145E+00	 2.249502E-02	 1.708066E+00	 2.726245E-02	 1.665614E+00	 3.234819E-02	 1.621882E+00	 3.796839E-02	 1.578162E+00	 4.399122E-02	 1.540857E+00	 4.948012E-02	 1.503001E+00	 5.530639E-02	 1.465138E+00	 6.140805E-02	 1.427673E+00	 6.796976E-02	 1.391338E+00	 7.629762E-02	 1.360447E+00	 8.799427E-02	 1.333233E+00	 1.089841E-01	 1.441836E+00	 3.487237E-01
